id;ner_documento
1;[[0, []], [1, []]]
2;[[0, [['de Campinas', 'LOC', 63, 74]]]]
3;[[0, [['Europa', 'LOC', 114, 120], ['Ásia', 'LOC', 126, 130]]], [1, []]]
4;[[0, []], [1, []]]
5;[[0, []], [1, [['Indústria 4.0', 'MISC', 85, 98]]]]
6;[[0, [['IPI', 'MISC', 90, 93]]], [1, []]]
7;[[0, []], [1, []]]
8;[[0, [['Rio Grande do Sul', 'LOC', 78, 95]]], [1, [['América Latina', 'LOC', 83, 97]]]]
9;[[0, []]]
10;[[0, []], [1, []]]
11;[[0, []], [1, []]]
12;[[0, []], [1, []]]
13;[[0, [['região Centro-Oeste', 'LOC', 94, 113]]], [1, []]]
14;[[0, []], [1, []]]
15;[[0, []], [1, []]]
16;[[0, [['Manaus', 'LOC', 17, 23]]], [1, []]]
17;[[0, []]]
18;[[0, []]]
19;[[0, []], [1, []]]
20;[[0, []], [1, [['Índia', 'LOC', 51, 56], ['China', 'LOC', 62, 67]]]]
21;[[0, [['Sul', 'LOC', 57, 60]]]]
22;[[0, []], [1, []]]
23;[[0, [['Bahia', 'LOC', 23, 28]]], [1, []]]
24;[[0, [['Europa', 'LOC', 125, 131]]], [1, []]]
25;[[0, []]]
26;[[0, []], [1, []]]
27;[[0, []], [1, []]]
28;[[0, [['Minas Gerais', 'LOC', 96, 108]]], [1, []]]
29;[[0, []], [1, []]]
30;[[0, []]]
