id;pos_documento
1;[[['A', 'produção', 'industrial', 'brasileira', 'cresceu', '1,5', '%', 'no', 'primeiro', 'trimestre', 'de', '2026', ',', 'impulsionada', 'pelo', 'setor', 'automotivo', 'e', 'de', 'máquinas', 'pesadas', '.'], ['DET', 'NOUN', 'ADJ', 'ADJ', 'VERB', 'NUM', 'SYM', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NUM', 'PUNCT', 'VERB', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'ADP', 'NOUN', 'VERB', 'PUNCT'], ['cresceu', 'impulsionada', 'pesadas'], ['o', 'produção', 'industrial', 'brasileira', 'crescer', '1,5', '%', 'em o', 'primeiro', 'trimestre', 'de', '2026', ',', 'impulsionar', 'por o', 'setor', 'automotivo', 'e', 'de', 'máquina', 'pesar', '.']], [['O', 'resultado', 'superou', 'as', 'expectativas', 'dos', 'analistas', 'de', 'mercado', '.'], ['DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT'], ['superou'], ['o', 'resultado', 'superar', 'o', 'expectativa', 'de o', 'analista', 'de', 'mercado', '.']]]
2;[[['A', 'nova', 'fábrica', 'de', 'semicondutores', 'instalada', 'no', 'polo', 'tecnológico', 'de', 'Campinas', 'anunciou', 'um', 'investimento', 'de', '500', 'milhões', 'de', 'reais', 'para', 'expandir', 'sua', 'linha', 'de', 'montagem', 'e', 'atender', 'a', 'demanda', 'de', 'chips', 'automotivos', '.'], ['DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'NOUN', 'ADJ', 'ADP', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'NUM', 'NUM', 'ADP', 'NOUN', 'SCONJ', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['instalada', 'anunciou', 'expandir', 'atender'], ['o', 'novo', 'fábrica', 'de', 'semicondutor', 'instalar', 'em o', 'polo', 'tecnológico', 'de', 'Campinas', 'anunciar', 'um', 'investimento', 'de', '500', 'milhão', 'de', 'real', 'para', 'expandir', 'seu', 'linha', 'de', 'montagem', 'e', 'atender', 'o', 'demanda', 'de', 'chip', 'automotivo', '.']]]
3;[[['A', 'exportação', 'de', 'aço', 'nacional', 'registreu', 'recorde', 'no', 'mês', 'passado', ',', 'com', 'forte', 'demanda', 'vinda', 'de', 'parceiros', 'comerciais', 'na', 'Europa', 'e', 'na', 'Ásia', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'ADP', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'ADP', 'PROPN', 'CCONJ', 'ADP', 'PROPN', 'PUNCT'], ['registreu'], ['o', 'exportação', 'de', 'aço', 'nacional', 'registrer', 'recorde', 'em o', 'mês', 'passado', ',', 'com', 'forte', 'demanda', 'vindo', 'de', 'parceiro', 'comercial', 'em o', 'Europa', 'e', 'em o', 'Ásia', '.']], [['O', 'setor', 'siderúrgico', 'projeta', 'novos', 'investimentos', 'em', 'modernização', '.'], ['DET', 'NOUN', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT'], ['projeta'], ['o', 'setor', 'siderúrgico', 'projetar', 'novo', 'investimento', 'em', 'modernização', '.']]]
4;[[['A', 'indústria', 'têxtil', 'nacional', 'investiu', 'em', 'automação', 'industrial', 'para', 'reduzir', 'custos', 'operacionais', 'e', 'competir', 'com', 'os', 'produtos', 'importados', '.'], ['DET', 'NOUN', 'ADJ', 'ADJ', 'VERB', 'ADP', 'NOUN', 'ADJ', 'SCONJ', 'VERB', 'NOUN', 'ADJ', 'CCONJ', 'VERB', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT'], ['investiu', 'reduzir', 'competir', 'importados'], ['o', 'indústria', 'têxtil', 'nacional', 'investir', 'em', 'automação', 'industrial', 'para', 'reduzir', 'custo', 'operacional', 'e', 'competir', 'com', 'o', 'produto', 'importar', '.']], [['Novas', 'máquinas', 'de', 'fiação', 'digital', 'foram', 'adquiridas', 'pelas', 'principais', 'empresas', 'do', 'setor', '.'], ['ADJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'AUX', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT'], ['foram adquiridas'], ['Novas', 'máquina', 'de', 'fiação', 'digital', 'ser', 'adquirer', 'por o', 'principal', 'empresa', 'de o', 'setor', '.']]]
5;[[['O', 'governo', 'federal', 'anunciou', 'uma', 'nova', 'linha', 'de', 'crédito', 'subsidiado', 'para', 'a', 'digitalização', 'de', 'pequenas', 'e', 'médias', 'indústrias', '.'], ['DET', 'NOUN', 'ADJ', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT'], ['anunciou', 'subsidiado'], ['o', 'governo', 'federal', 'anunciar', 'um', 'novo', 'linha', 'de', 'crédito', 'subsidiar', 'para', 'o', 'digitalização', 'de', 'pequeno', 'e', 'médio', 'indústria', '.']], [['O', 'programa', 'visa', 'aumentar', 'a', 'produtividade', 'fabril', 'por', 'meio', 'da', 'adoção', 'de', 'tecnologias', 'da', 'Indústria', '4.0', '.'], ['DET', 'NOUN', 'VERB', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT'], ['visa aumentar'], ['o', 'programa', 'visar', 'aumentar', 'o', 'produtividade', 'fabril', 'por', 'meio', 'de o', 'adoção', 'de', 'tecnologia', 'de o', 'Indústria', '4.0', '.']]]
6;[[['A', 'produção', 'de', 'veículos', 'elétricos', 'no', 'país', 'ganhou', 'um', 'novo', 'incentivo', 'fiscal', 'com', 'a', 'redução', 'do', 'IPI', 'para', 'montadoras', 'que', 'utilizarem', 'componentes', 'fabricados', 'localmente', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'PRON', 'VERB', 'NOUN', 'VERB', 'ADV', 'PUNCT'], ['ganhou', 'utilizarem', 'fabricados'], ['o', 'produção', 'de', 'veículo', 'elétrico', 'em o', 'país', 'ganhar', 'um', 'novo', 'incentivo', 'fiscal', 'com', 'o', 'redução', 'de o', 'IPI', 'para', 'montadora', 'que', 'utilizar', 'componente', 'fabricar', 'localmente', '.']], [['A', 'medida', 'visa', 'fortalecer', 'a', 'cadeia', 'de', 'suprimentos', 'nacional', '.'], ['DET', 'NOUN', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['visa fortalecer'], ['o', 'medida', 'visar', 'fortalecer', 'o', 'cadeia', 'de', 'suprimento', 'nacional', '.']]]
7;[[['A', 'indústria', 'química', 'registrou', 'uma', 'queda', 'de', '2', '%', 'no', 'faturamento', 'devido', 'ao', 'aumento', 'dos', 'custos', 'das', 'matérias-primas', 'importadas', '.'], ['DET', 'NOUN', 'ADJ', 'VERB', 'DET', 'NOUN', 'ADP', 'NUM', 'SYM', 'ADP', 'NOUN', 'ADV', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'PUNCT'], ['registrou', 'importadas'], ['o', 'indústria', 'química', 'registrar', 'um', 'queda', 'de', '2', '%', 'em o', 'faturamento', 'devido', 'a o', 'aumento', 'de o', 'custo', 'de o', 'matérias-prima', 'importar', '.']], [['O', 'setor', 'busca', 'alternativas', 'locais', 'para', 'o', 'fornecimento', 'de', 'insumos', 'básicos', '.'], ['DET', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['busca'], ['o', 'setor', 'buscar', 'alternativa', 'local', 'para', 'o', 'fornecimento', 'de', 'insumo', 'básico', '.']]]
8;[[['Uma', 'multinacional', 'de', 'máquinas', 'agrícolas', 'inaugurou', 'uma', 'nova', 'ala', 'de', 'montagem', 'no', 'Rio', 'Grande', 'do', 'Sul', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PUNCT'], ['inaugurou'], ['um', 'multinacional', 'de', 'máquina', 'agrícola', 'inaugurar', 'um', 'novo', 'ala', 'de', 'montagem', 'em o', 'Rio', 'Grande', 'de o', 'Sul', '.']], [['O', 'projeto', 'gerou', 'trezentos', 'novos', 'empregos', 'diretos', 'e', 'pretende', 'abastecer', 'o', 'mercado', 'da', 'América', 'Latina', '.'], ['DET', 'NOUN', 'VERB', 'NUM', 'ADJ', 'NOUN', 'ADJ', 'CCONJ', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT'], ['gerou', 'pretende abastecer'], ['o', 'projeto', 'gerar', 'trezento', 'novo', 'emprego', 'direto', 'e', 'pretender', 'abastecer', 'o', 'mercado', 'de o', 'América', 'Latina', '.']]]
9;[[['O', 'consumo', 'de', 'energia', 'elétrica', 'na', 'indústria', 'cresceu', 'pelo', 'quarto', 'mês', 'consecutivo', ',', 'sinalizando', 'uma', 'retomada', 'firme', 'das', 'atividades', 'fabris', 'após', 'o', 'período', 'de', 'manutenção', 'programada', 'das', 'grandes', 'usinas', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADJ', 'PUNCT', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'ADJ', 'NOUN', 'PUNCT'], ['cresceu', 'sinalizando', 'programada'], ['o', 'consumo', 'de', 'energia', 'elétrico', 'em o', 'indústria', 'crescer', 'por o', 'quarto', 'mês', 'consecutivo', ',', 'sinalizar', 'um', 'retomada', 'firme', 'de o', 'atividade', 'fabris', 'após', 'o', 'período', 'de', 'manutenção', 'programar', 'de o', 'grande', 'usina', '.']]]
10;[[['Consórcios', 'de', 'empresas', 'privadas', 'fecharam', 'parcerias', 'com', 'universidades', 'para', 'criar', 'centros', 'de', 'pesquisa', 'voltados', 'para', 'a', 'descarbonização', 'industrial', '.'], ['NOUN', 'ADP', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'SCONJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADJ', 'PUNCT'], ['fecharam', 'criar', 'voltados'], ['consórcio', 'de', 'empresa', 'privado', 'fechar', 'parceria', 'com', 'universidade', 'para', 'criar', 'centro', 'de', 'pesquisa', 'voltar', 'para', 'o', 'descarbonização', 'industrial', '.']], [['O', 'foco', 'inicial', 'será', 'a', 'substituição', 'de', 'combustíveis', 'fósseis', 'por', 'hidrogênio', 'verde', '.'], ['DET', 'NOUN', 'ADJ', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], [], ['o', 'foco', 'inicial', 'ser', 'o', 'substituição', 'de', 'combustível', 'fóssil', 'por', 'hidrogênio', 'verde', '.']]]
